"ep_number","ep_title","restaurant","location","ep_air_date","google_string","freq_visited","index","yelp_string"
1,"Classics","Mac & Ernie's","Tarpley, Texas",2007-04-23,"Mac & Ernie's Tarpley Texas yelp",1,1,"mac-and-ernies-roadside-eatery-tarpley-2"
1,"Classics","Brint's Diner","Wichita, Kansas",2007-04-23,"Brint's Diner Wichita Kansas yelp",1,2,"brints-diner-wichita-5"
1,"Classics","Mad Greek's Diner","Baker, California",2007-04-23,"Mad Greek's Diner Baker California yelp",1,3,"the-mad-greek-baker"
2,"That's Italian","Pizza Palace","Knoxville, Tennessee",2007-04-30,"Pizza Palace Knoxville Tennessee yelp",1,4,"pizza-palace-knoxville"
2,"That's Italian","Hullabaloo Diner","Wellborn, Texas",2007-04-30,"Hullabaloo Diner Wellborn Texas yelp",1,5,"hullabaloo-diner-wellborn"
2,"That's Italian","Four Kegs Sports Pub","Las Vegas, Nevada",2007-04-30,"Four Kegs Sports Pub Las Vegas Nevada yelp",1,6,"four-kegs-sports-bar-las-vegas"
3,"Blue Plate Special","Patrick's Roadhouse","Santa Monica, California",2007-05-07,"Patrick's Roadhouse Santa Monica California yelp",1,7,"patricks-roadhouse-santa-monica"
3,"Blue Plate Special","Frosted Mug","Alsip, Illinois",2007-05-07,"Frosted Mug Alsip Illinois yelp",1,8,"the-frosted-mug-drive-in-alsip"
3,"Blue Plate Special","The Penguin","Charlotte, North Carolina",2007-05-07,"The Penguin Charlotte North Carolina yelp",1,9,"the-penguin-drive-in-charlotte"
4,"Breakfast","Frank's Diner","Kenosha, Wisconsin",2007-05-21,"Frank's Diner Kenosha Wisconsin yelp",1,10,"franks-diner-kenosha"
4,"Breakfast","Gaffey Street Diner","San Pedro, California",2007-05-21,"Gaffey Street Diner San Pedro California yelp",1,11,"gaffey-st-diner-los-angeles-2"
4,"Breakfast","The Coffee Cup","Boulder City, Nevada",2007-05-21,"The Coffee Cup Boulder City Nevada yelp",1,12,"the-coffee-cup-boulder-city"
5,"BBQ","Baby Blues BBQ","Venice, California",2007-05-28,"Baby Blues BBQ Venice California yelp",1,13,"baby-blues-bbq-venice-venice"
