"ep_number","ep_title","restaurant","location","ep_air_date","yelp_string","index","freq_visited"
1,"Classics","Mac & Ernie's","Tarpley, Texas",2007-04-23,"Mac & Ernie's Tarpley Texas yelp",1,1
1,"Classics","Brint's Diner","Wichita, Kansas",2007-04-23,"Brint's Diner Wichita Kansas yelp",2,1
1,"Classics","Mad Greek's Diner","Baker, California",2007-04-23,"Mad Greek's Diner Baker California yelp",3,1
2,"That's Italian","Pizza Palace","Knoxville, Tennessee",2007-04-30,"Pizza Palace Knoxville Tennessee yelp",4,1
2,"That's Italian","Hullabaloo Diner","Wellborn, Texas",2007-04-30,"Hullabaloo Diner Wellborn Texas yelp",5,1
2,"That's Italian","Four Kegs Sports Pub","Las Vegas, Nevada",2007-04-30,"Four Kegs Sports Pub Las Vegas Nevada yelp",6,1
3,"Blue Plate Special","Patrick's Roadhouse","Santa Monica, California",2007-05-07,"Patrick's Roadhouse Santa Monica California yelp",7,1
3,"Blue Plate Special","Frosted Mug","Alsip, Illinois",2007-05-07,"Frosted Mug Alsip Illinois yelp",8,1
3,"Blue Plate Special","The Penguin","Charlotte, North Carolina",2007-05-07,"The Penguin Charlotte North Carolina yelp",9,1
4,"Breakfast","Frank's Diner","Kenosha, Wisconsin",2007-05-21,"Frank's Diner Kenosha Wisconsin yelp",10,1
4,"Breakfast","Gaffey Street Diner","San Pedro, California",2007-05-21,"Gaffey Street Diner San Pedro California yelp",11,1
4,"Breakfast","The Coffee Cup","Boulder City, Nevada",2007-05-21,"The Coffee Cup Boulder City Nevada yelp",12,1
5,"BBQ","Baby Blues BBQ","Venice, California",2007-05-28,"Baby Blues BBQ Venice California yelp",13,1
5,"BBQ","Louie Mueller BBQ","Taylor, Texas",2007-05-28,"Louie Mueller BBQ Taylor Texas yelp",14,1
5,"BBQ","Barbecue King Drive-In","Charlotte, North Carolina",2007-05-28,"Barbecue King Drive-In Charlotte North Carolina yelp",15,1
6,"Local Legends","Eveready Diner","Hyde Park, New York",2007-06-04,"Eveready Diner Hyde Park New York yelp",16,1
6,"Local Legends","Leo's BBQ","Oklahoma City, Oklahoma",2007-06-04,"Leo's BBQ Oklahoma City Oklahoma yelp",17,1
6,"Local Legends","A1 Diner","Gardiner, Maine",2007-06-04,"A1 Diner Gardiner Maine yelp",18,1
7,"Burgers","Triple XXX Restaurant","West Lafayette, Indiana",2007-06-11,"Triple XXX Restaurant West Lafayette Indiana yelp",19,1
7,"Burgers","Hackney's","Glenview, Illinois",2007-06-11,"Hackney's Glenview Illinois yelp",20,1
7,"Burgers","Squeeze Inn","Sacramento, California",2007-06-11,"Squeeze Inn Sacramento California yelp",21,1
